Model,Dataset,Atlas,Task,Seed,Accuracy,F1,AUC,AP,BAC,Sensitivity,Specificity,Precision,MCC,Kappa
bnt,ADHD200,cc400,DX,1,0.5474452554744526,0.4464285714285714,0.5516431924882629,0.6054527905622045,0.5548442168160478,0.352112676056338,0.7575757575757576,0.6097560975609756,0.119683541574034,0.1079605124973744
bnt,ADHD200,cc400,DX,42,0.5766423357664233,0.4727272727272727,0.5763977806231327,0.63113611962097,0.5846137430644472,0.3661971830985915,0.803030303030303,0.6666666666666666,0.1873814968273923,0.1663869072597565
bnt,ADHD200,cc400,DX,123,0.5474452554744526,0.5230769230769231,0.5706359368331199,0.6184706393165167,0.5500426803243704,0.4788732394366197,0.6212121212121212,0.576271186440678,0.100994655802712,0.0994486853265479
bnt,ADHD200,cc400,DX,456,0.5547445255474452,0.4601769911504424,0.5620998719590269,0.6127658457037065,0.5618864703371745,0.3661971830985915,0.7575757575757576,0.6190476190476191,0.1341344718524229,0.121887149311758
bnt,ADHD200,cc400,DX,789,0.5547445255474452,0.4504504504504504,0.5815194195475885,0.613545636726258,0.5624199743918054,0.352112676056338,0.7727272727272727,0.625,0.1371951823175186,0.1228088590322242
fbnetgen,ADHD200,cc400,DX,1,0.5328467153284672,0.4576271186440678,0.556978233034571,0.581710200522596,0.538625693555271,0.380281690140845,0.696969696969697,0.574468085106383,0.0813087425533482,0.0762747576906869
fbnetgen,ADHD200,cc400,DX,42,0.5255474452554745,0.3925233644859813,0.5757575757575758,0.5844207888904307,0.5342509603072984,0.2957746478873239,0.7727272727272727,0.5833333333333334,0.0777663925062353,0.0672462553681785
fbnetgen,ADHD200,cc400,DX,123,0.4963503649635036,0.4651162790697674,0.5320102432778488,0.5886466514215518,0.4991463935125907,0.4225352112676056,0.5757575757575758,0.5172413793103449,-0.0017264790089495,-0.0016954540637914
fbnetgen,ADHD200,cc400,DX,456,0.5255474452554745,0.453781512605042,0.546521553563807,0.5592148362339597,0.5310499359795134,0.380281690140845,0.6818181818181818,0.5625,0.0650393548753541,0.0613471065668809
fbnetgen,ADHD200,cc400,DX,789,0.5547445255474452,0.4695652173913043,0.5943235168587281,0.5841612223791552,0.5613529662825437,0.380281690140845,0.7424242424242424,0.6136363636363636,0.1313103291734344,0.1209635005785211
comtf,ADHD200,cc400,DX,1,0.5693430656934306,0.4684684684684684,0.5712761416986769,0.6201256306498768,0.5770379854886897,0.3661971830985915,0.7878787878787878,0.65,0.1693246523645273,0.1515692243098563
comtf,ADHD200,cc400,DX,42,0.5693430656934306,0.4778761061946903,0.5725565514297908,0.6224972213858129,0.5765044814340589,0.380281690140845,0.7727272727272727,0.6428571428571429,0.1658179591692883,0.1506777345802249
comtf,ADHD200,cc400,DX,123,0.5693430656934306,0.5042016806722689,0.5717029449423815,0.6169314446455387,0.5749039692701665,0.4225352112676056,0.7272727272727273,0.625,0.1568990622766275,0.1479919890376303
comtf,ADHD200,cc400,DX,456,0.5912408759124088,0.5483870967741935,0.5631668800682884,0.6117379043104343,0.595497225778916,0.4788732394366197,0.7121212121212122,0.6415094339622641,0.1959495702585609,0.1891777636863242
comtf,ADHD200,cc400,DX,789,0.5620437956204379,0.4642857142857143,0.5608194622279129,0.6065646900816651,0.5694622279129321,0.3661971830985915,0.7727272727272727,0.6341463414634146,0.1515836295032999,0.1367359798361688
braingnn,ADHD200,cc400,DX,1,0.5182481751824818,0.2325581395348837,0.586427656850192,0.5981207673079423,0.5325437473324797,0.1408450704225352,0.9242424242424242,0.6666666666666666,0.1041533282113118,0.0631993369249895
