Model,Dataset,Atlas,Task,Seed,Accuracy,F1,AUC,AP,BAC,Sensitivity,Specificity,Precision,MCC,Kappa
fbnetgen,ABIDE_BNT,cc400,DX,123,0.7128712871287128,0.6588235294117647,0.7719298245614035,0.6502351313191868,0.7176274018379281,0.7368421052631579,0.6984126984126984,0.5957446808510638,0.4227268535157313,0.4157191302613205
fbnetgen,ABIDE_BNT,cc200,DX,123,0.6039603960396039,0.574468085106383,0.7121971595655806,0.6279223021903535,0.6251044277360067,0.7105263157894737,0.5396825396825397,0.4821428571428571,0.2438734257535743,0.2287132493318061
fbnetgen,ABIDE_BNT,aal,DX,123,0.6435643564356436,0.625,0.6842105263157895,0.5162513476379443,0.672514619883041,0.7894736842105263,0.5555555555555556,0.5172413793103449,0.33804128950603,0.3124054462934946
fbnetgen,ABIDE_BNT,cc400,DX,456,0.6435643564356436,0.5909090909090909,0.7581453634085213,0.6517809198227922,0.6516290726817042,0.6842105263157895,0.6190476190476191,0.52,0.2938356306787958,0.2853773584905661
fbnetgen,ABIDE_BNT,cc200,DX,456,0.6732673267326733,0.6373626373626373,0.788220551378446,0.6888099553433814,0.6911027568922306,0.7631578947368421,0.6190476190476191,0.5471698113207547,0.3707664831516048,0.3544450900639163
fbnetgen,ABIDE_BNT,aal,DX,456,0.6435643564356436,0.6,0.7167919799498746,0.6154566703928679,0.6568504594820384,0.7105263157894737,0.6031746031746031,0.5192307692307693,0.3040732053050168,0.2923316465550797
fbnetgen,ABIDE_BNT,cc400,DX,789,0.7425742574257426,0.6829268292682927,0.8007518796992481,0.7122621356356854,0.741436925647452,0.7368421052631579,0.746031746031746,0.6363636363636364,0.4717718189564176,0.4682057513163223
fbnetgen,ABIDE_BNT,cc200,DX,789,0.6732673267326733,0.6206896551724138,0.7213868003341688,0.6168103045822177,0.6806599832915623,0.7105263157894737,0.6507936507936508,0.5510204081632653,0.3502307890663643,0.3416946474422279
fbnetgen,ABIDE_BNT,aal,DX,789,0.6237623762376238,0.5681818181818182,0.6620718462823726,0.5230636993917603,0.6305346700083543,0.6578947368421053,0.6031746031746031,0.5,0.2529576710389082,0.2456761006289308
comtf,ABIDE_BNT,cc400,DX,1,0.7128712871287128,0.6813186813186813,0.7894736842105263,0.6819909265265779,0.7332915622389307,0.8157894736842105,0.6507936507936508,0.5849056603773585,0.4526187559348006,0.4326941700561689
comtf,ABIDE_BNT,cc200,DX,1,0.7128712871287128,0.5915492957746479,0.7627401837928154,0.69164945542708,0.681077694235589,0.5526315789473685,0.8095238095238095,0.6363636363636364,0.3740637282849136,0.37186360711988
comtf,ABIDE_BNT,cc400,DX,42,0.6138613861386139,0.6355140186915887,0.7410192147034252,0.5670934552926438,0.6695906432748537,0.8947368421052632,0.4444444444444444,0.4927536231884058,0.3531786333378052,0.2919288153873808
comtf,ABIDE_BNT,cc200,DX,42,0.594059405940594,0.5494505494505495,0.6950710108604845,0.549013855819743,0.6067251461988304,0.6578947368421053,0.5555555555555556,0.4716981132075472,0.2070619375852131,0.1979469300794112
comtf,ABIDE_BNT,cc400,DX,123,0.6138613861386139,0.6213592233009708,0.7786131996658313,0.683735970161469,0.6591478696741855,0.8421052631578947,0.4761904761904761,0.4923076923076923,0.3219474351793659,0.2789676002196595
comtf,ABIDE_BNT,cc200,DX,123,0.7326732673267327,0.6301369863013698,0.8174603174603176,0.7713483395285076,0.7073934837092732,0.6052631578947368,0.8095238095238095,0.6571428571428571,0.4222612077288747,0.4213876511775939
comtf,ABIDE_BNT,cc400,DX,456,0.7227722772277227,0.65,0.79156223893066,0.6812138912419289,0.7151211361737677,0.6842105263157895,0.746031746031746,0.6190476190476191,0.4228871616164683,0.4214402618657937
comtf,ABIDE_BNT,cc200,DX,456,0.7029702970297029,0.6428571428571429,0.8082706766917294,0.728928709654004,0.704469507101086,0.7105263157894737,0.6984126984126984,0.5869565217391305,0.3977959508832404,0.392542101042502
comtf,ABIDE_BNT,cc400,DX,789,0.6237623762376238,0.6415094339622641,0.7355889724310778,0.5794033119971141,0.6775271512113618,0.8947368421052632,0.4603174603174603,0.5,0.3667291453773663,0.3069700252798844
comtf,ABIDE_BNT,cc200,DX,789,0.7524752475247525,0.6575342465753424,0.8070175438596491,0.7633044551991267,0.7284878863826232,0.631578947368421,0.8253968253968254,0.6857142857142857,0.465210232885588,0.4642478251644388
braingnn,ABIDE_BNT,cc400,DX,1,0.504950495049505,0.21875,0.4419381787802841,0.3832993545774787,0.4413116123642439,0.1842105263157894,0.6984126984126984,0.2692307692307692,-0.1300549663900434,-0.125222816399287
braingnn,ABIDE_BNT,cc200,DX,1,0.5346534653465347,0.2985074626865671,0.4603174603174603,0.3481292781141721,0.4807852965747702,0.2631578947368421,0.6984126984126984,0.3448275862068966,-0.0411491157514657,-0.0403243480166557
braingnn,ABIDE_BNT,aal,DX,1,0.6732673267326733,0.6206896551724138,0.7230576441102757,0.5732828321628709,0.6806599832915623,0.7105263157894737,0.6507936507936508,0.5510204081632653,0.3502307890663643,0.3416946474422279
braingnn,ABIDE_BNT,cc400,DX,42,0.5841584158415841,0.5625,0.6679197994987468,0.5700958841046517,0.6092314118629908,0.7105263157894737,0.5079365079365079,0.4655172413793103,0.2140382498930432,0.1978063540090771
braingnn,ABIDE_BNT,cc200,DX,42,0.6435643564356436,0.6086956521739131,0.7247284878863827,0.5698107183442961,0.6620718462823726,0.7368421052631579,0.5873015873015873,0.5185185185185185,0.3148138563610437,0.2991518889745567
braingnn,ABIDE_BNT,aal,DX,42,0.5742574257425742,0.2711864406779661,0.5939849624060151,0.447038326541518,0.5020885547201337,0.2105263157894736,0.7936507936507936,0.3809523809523809,0.0049863560510916,0.0045840018336006
braingnn,ABIDE_BNT,cc400,DX,123,0.5544554455445545,0.5054945054945055,0.606516290726817,0.5330648350556912,0.5645363408521303,0.6052631578947368,0.5238095238095238,0.4339622641509434,0.1252096648020173,0.1196978500871587
braingnn,ABIDE_BNT,cc200,DX,123,0.5346534653465347,0.4719101123595505,0.5476190476190477,0.3860928104268091,0.5382205513784462,0.5526315789473685,0.5238095238095238,0.4117647058823529,0.0740660060801923,0.0715822413455896
braingnn,ABIDE_BNT,aal,DX,123,0.5445544554455446,0.5208333333333334,0.6203007518796992,0.553005596798993,0.5670426065162908,0.6578947368421053,0.4761904761904761,0.4310344827586206,0.1313695568177187,0.1214069591527987
braingnn,ABIDE_BNT,cc400,DX,456,0.5544554455445545,0.4,0.5208855472013366,0.38034628321854,0.522765246449457,0.3947368421052631,0.6507936507936508,0.4054054054054054,0.0457797667801501,0.0457694730212051
braingnn,ABIDE_BNT,cc200,DX,456,0.5544554455445545,0.4155844155844156,0.5296574770258982,0.3911316086023544,0.5279866332497911,0.4210526315789473,0.6349206349206349,0.4102564102564102,0.0556947908093918,0.0556825264907542
braingnn,ABIDE_BNT,aal,DX,456,0.5346534653465347,0.3380281690140845,0.4966583124477861,0.3730025436771753,0.4912280701754385,0.3157894736842105,0.6666666666666666,0.3636363636363636,-0.0181207342421757,-0.0180141539781255
braingnn,ABIDE_BNT,cc400,DX,789,0.4455445544554455,0.4909090909090909,0.5200501253132832,0.4352479342931368,0.4981203007518797,0.7105263157894737,0.2857142857142857,0.375,-0.0040254569756868,-0.0031926214969848
braingnn,ABIDE_BNT,cc200,DX,789,0.4554455445544554,0.4660194174757281,0.5405179615705931,0.4216377412078248,0.4903926482873851,0.631578947368421,0.3492063492063492,0.3692307692307692,-0.0194351470055785,-0.0168405637927879
braingnn,ABIDE_BNT,aal,DX,789,0.6237623762376238,0.2962962962962963,0.5338345864661653,0.4328385134699847,0.5417710944026733,0.2105263157894736,0.873015873015873,0.5,0.110840498017585,0.0943841434638981
braingb,ABIDE_BNT,cc200,DX,1,0.6534653465346535,0.6534653465346535,0.7510442773600668,0.6739003697572991,0.6961152882205515,0.868421052631579,0.5238095238095238,0.5238095238095238,0.3922305764411027,0.3469425457232589
braingb,ABIDE_BNT,aal,DX,1,0.6039603960396039,0.5238095238095238,0.6324143692564745,0.4602376661719942,0.5989974937343359,0.5789473684210527,0.6190476190476191,0.4782608695652174,0.1925998781600162,0.1900561347233359
braingb,ABIDE_BNT,cc200,DX,42,0.5742574257425742,0.5168539325842697,0.6240601503759399,0.5154358858644307,0.5804093567251463,0.6052631578947368,0.5555555555555556,0.4509803921568627,0.1558219253599675,0.1505965186778799
braingb,ABIDE_BNT,aal,DX,42,0.5346534653465347,0.5765765765765766,0.5375939849624061,0.3707613798055998,0.595655806182122,0.8421052631578947,0.3492063492063492,0.4383561643835616,0.2070441476869149,0.161751721702278
braingb,ABIDE_BNT,cc200,DX,123,0.693069306930693,0.6736842105263158,0.7451963241436925,0.6356332423336015,0.722639933166249,0.8421052631578947,0.6031746031746031,0.5614035087719298,0.4350421790722675,0.405092152764583
braingb,ABIDE_BNT,aal,DX,123,0.6633663366336634,0.5952380952380952,0.7393483709273183,0.5941284438043857,0.6622807017543859,0.6578947368421053,0.6666666666666666,0.5434782608695652,0.3157175217939507,0.3115477145148355
braingb,ABIDE_BNT,cc200,DX,456,0.5742574257425742,0.4819277108433735,0.6228070175438597,0.4473286968684274,0.5647451963241437,0.5263157894736842,0.6031746031746031,0.4444444444444444,0.1262116226771419,0.1249244408623816
braingb,ABIDE_BNT,aal,DX,456,0.6633663366336634,0.6222222222222222,0.7660818713450293,0.6325771081696318,0.6779448621553885,0.7368421052631579,0.6190476190476191,0.5384615384615384,0.3449672049532282,0.3316465550797974
braingb,ABIDE_BNT,cc200,DX,789,0.6633663366336634,0.6458333333333334,0.7577276524644946,0.6799114949086803,0.6936090225563909,0.8157894736842105,0.5714285714285714,0.5344827586206896,0.3793756360436923,0.3506051437216338
braingb,ABIDE_BNT,aal,DX,789,0.5643564356435643,0.6071428571428571,0.7151211361737677,0.5731932018687902,0.6299081035923141,0.8947368421052632,0.365079365079365,0.4594594594594595,0.2844006402218145,0.2187060478199718
dpm,ABIDE_BNT,cc400,DX,1,0.6534653465346535,0.1463414634146341,0.7811194653299917,0.6924028935767772,0.5394736842105263,0.0789473684210526,1.0,1.0,0.2252817784447914,0.0966010733452594
dpm,ABIDE_BNT,cc200,DX,1,0.6534653465346535,0.4067796610169492,0.7372598162071846,0.5786882551126059,0.5864661654135338,0.3157894736842105,0.8571428571428571,0.5714285714285714,0.2064351405151928,0.1897776759110703
dpm,ABIDE_BNT,aal,DX,1,0.6138613861386139,0.6355140186915887,0.6741854636591478,0.5206534229734386,0.6695906432748537,0.8947368421052632,0.4444444444444444,0.4927536231884058,0.3531786333378052,0.2919288153873808
dpm,ABIDE_BNT,cc400,DX,42,0.7227722772277227,0.5333333333333333,0.8078529657477026,0.7123646920379465,0.662907268170426,0.4210526315789473,0.9047619047619048,0.7272727272727273,0.3823909836943585,0.3555150410209663
dpm,ABIDE_BNT,cc200,DX,42,0.5841584158415841,0.631578947368421,0.722639933166249,0.5670679986172521,0.6562238930659983,0.9473684210526316,0.365079365079365,0.4736842105263157,0.350721770088585,0.2607180202161032
dpm,ABIDE_BNT,aal,DX,42,0.5742574257425742,0.4941176470588235,0.6349206349206349,0.4746620567091655,0.5699665831244779,0.5526315789473685,0.5873015873015873,0.4468085106382978,0.1359054663414299,0.1336525034909236
dpm,ABIDE_BNT,cc400,DX,123,0.504950495049505,0.5967741935483871,0.7109440267335004,0.5736928891121096,0.597953216374269,0.9736842105263158,0.2222222222222222,0.4302325581395348,0.2668799296827915,0.1566466265865064
dpm,ABIDE_BNT,cc200,DX,123,0.6732673267326733,0.5074626865671642,0.7635756056808689,0.639664752395851,0.6284461152882206,0.4473684210526316,0.8095238095238095,0.5862068965517241,0.2750728933386024,0.2695595003287311
dpm,ABIDE_BNT,aal,DX,123,0.4059405940594059,0.5588235294117647,0.6804511278195489,0.48933801025336,0.5238095238095238,1.0,0.0476190476190476,0.3877551020408163,0.1358842473159059,0.0362595419847328
dpm,ABIDE_BNT,cc400,DX,456,0.6732673267326733,0.6597938144329897,0.7748538011695907,0.6587814366239761,0.706766917293233,0.8421052631578947,0.5714285714285714,0.5423728813559322,0.4064643592235957,0.3726708074534162
dpm,ABIDE_BNT,cc200,DX,456,0.6534653465346535,0.2857142857142857,0.7305764411027568,0.5861031309502316,0.560359231411863,0.18421052631578946,0.9365079365079365,0.6363636363636364,0.18772329668218887,0.14053002674446868
